t,demand
1887,147.2
1888,145.5
1889,161.6
1890,185.9
1891,184.1
1892,162
1893,141.7
1894,120.6
1895,106.6
1896,98.8
1897,36.9
1898,11.2
1899,88.8
1900,91.9
1901,96.8
1902,102.6
1903,110.9
1904,120.3
1905,126.5
1906,134
1907,141.9
1908,145.6
1909,146.1
1910,154.3
1911,157.3
1912,153.5
1913,141.3
1914,177.8
1915,188.4
1916,173.2
1917,154
1918,132.4
1919,110.8
1920,102.4
1921,98.5
1922,97.2
1923,95.7
1924,95.7
1925,102.4
1926,105.9
1927,111.5
1928,118.8
1929,125.3
1930,137.4
1931,144.8
1932,153.4
1933,157.6
1934,158.5
1935,158.9
1936,153.5
1937,157
1938,194.7
1939,207.9
1940,194.9
1941,175.6
1942,149.7
1943,123.1
1944,109.9
1945,104.1
1946,101.6
1947,98.3
1948,97.2
1949,102.2
1950,111.1
1951,126
1952,127.2
1953,124.9
1954,132.7
1955,137.9
1956,141.7
1957,142.2
1958,141.8
1959,150
1960,147.8
1961,148.9
1962,184.8
1963,196.4
1964,191
1965,177.8
1966,148.3
1967,124.4
1968,112.2
1969,105.4
1970,101.1
1971,98.6
1972,98.7
1973,99.7
1974,96.1
1975,118
1976,125.5
1977,127.2
1978,128.3
1979,138.5
1980,144.8
1981,146.7
1982,149.2
1983,154
1984,146
1985,143.4
1986,186.9
1987,206
1988,199.4
1989,181.5
1990,158.3
1991,135.5
1992,121.3
1993,111.9
1994,106
1995,101.1
1996,97.5
1997,96.7
1998,89.9
1999,97.9
2000,121.4
2001,138.9
2002,144.3
2003,140.3
2004,145.8
2005,146.8
2006,139.3
2007,138.5
2008,138.7
2009,146.4
2010,183.3
2011,193.6
2012,175.6
2013,150.2
2014,126.2
2015,110.3
2016,100.4
2017,97.3
2018,93.8
2019,93
2020,92.2
2021,93
2022,99.6
2023,119.7
2024,132.9
2025,139
2026,146.3
2027,157.7
2028,160.7
2029,156.7
2030,166.5
2031,166.5
2032,160.4
2033,166.3
2034,196.2
2035,194.2
2036,180.8
2037,161.3
2038,140
2039,117.3
2040,103.5
2041,97.9
2042,96.8
2043,96.1
2044,95.3
2045,98.1
2046,99
2047,118.7
2048,133
2049,145.4
2050,143.6
2051,145.2
2052,143.2
2053,135.2
2054,140
2055,149
2056,147.4
2057,144.9
2058,183.6
2059,185.8
2060,177.4
2061,162.2
2062,139
2063,117.4
2064,102.4
2065,96.8
2066,95.7
2067,94.2
2068,92.9
2069,97.7
2070,101.3
2071,112.8
2072,124.9
2073,64.4
2074,121.2
2075,138.8
2076,140.7
2077,142.1
2078,142.8
2079,147.2
2080,147.2
2081,160.2
2082,188.6
2083,192.2
2084,181.5
2085,159.6
2086,137.4
2087,113.7
2088,104.8
2089,100.4
2090,96.5
2091,94.3
2092,93
2093,92.4
2094,91.1
2095,106.9
2096,120.7
2097,132.6
2098,138.6
2099,138.9
2100,144.2
2101,143.1
2102,141.4
2103,142.6
2104,133.4
2105,143.4
2106,181
2107,185.8
2108,178.2
2109,155.1
2110,130.9
2111,115.5
2112,106.3
2113,99.1
2114,96.3
2115,92.7
2116,92.5
2117,91.2
2118,89.6
