t,demand
1184,24.16
1185,25.87
1186,27.62
1187,27.91
1188,25.83
1189,27.52
1190,29.68
1191,30.08
1192,29.64
1193,28.2
1194,29.07
1195,28.6
1196,27.55
1197,26.91
1198,24.6
1199,22
1200,19.96
1201,18.62
1202,17.88
1203,17.41
1204,16.82
1205,16.82
1206,17.32
1207,20.67
1208,23.98
1209,25.34
1210,26.32
1211,26.59
1212,24.48
1213,26.05
1214,28.65
1215,29.48
1216,28.55
1217,27.06
1218,28.66
1219,27.7
1220,26.84
1221,26.04
1222,24.09
1223,21.74
1224,19.79
1225,18.72
1226,18.18
1227,17.73
1228,16.98
1229,17.21
1230,17.66
1231,20.94
1232,24.3
1233,25.58
1234,25.99
1235,26.3
1236,25.02
1237,26.26
1238,28.52
1239,28.31
1240,26.89
1241,25.7
1242,27.17
1243,26.83
1244,26.14
1245,25.33
1246,23.13
1247,20.98
1248,19.15
1249,17.91
1250,17.16
1251,16.48
1252,16.21
1253,16.36
1254,16.66
1255,19.61
1256,21.98
1257,23.17
1258,24.2
1259,24.91
1260,23.04
1261,23.99
1262,26.83
1263,25.31
1264,23.57
1265,22.69
1266,23.95
1267,23.3
1268,21.78
1269,20.89
1270,19.54
1271,17.95
1272,16.7
1273,16.2
1274,15.66
1275,15.1
1276,14.55
1277,14.63
1278,14.47
1279,16.24
1280,18.6
1281,20.04
1282,21.2
1283,22.37
1284,22.2
1285,22.3
1286,23.72
1287,23.32
1288,22.54
1289,23.18
1290,25.2
1291,24.38
1292,23.37
1293,22.72
1294,20.78
1295,19.07
1296,17.81
1297,17
1298,16.22
1299,15.68
1300,14.99
1301,14.66
1302,14.25
1303,15.29
1304,16.73
1305,17.14
1306,17.87
1307,18.78
1308,18.4
1309,18.03
1310,18.4
1311,18.91
1312,19.34
1313,19.82
1314,22.59
1315,23.26
1316,23.16
1317,22.29
1318,20.49
1319,18.49
1320,17.3
1321,16.51
1322,15.92
1323,15.09
1324,14.9
1325,15.5
1326,16.02
1327,19.57
1328,22.53
1329,24.06
1330,25.42
1331,25.86
1332,20.64
1333,20.88
1334,24.24
1335,25.21
1336,25.12
1337,24.01
1338,25.12
1339,24.55
1340,23.63
1341,22.91
1342,20.58
1343,18.46
1344,17.37
1345,16.48
1346,15.95
1347,15.63
1348,15.21
1349,15.48
